redact,task,n_test,C,macro-F1,QWK
none,stance,492,0.003,0.6066,0.6118
none,premise,492,0.001,0.6562,0.6862
grade,stance,492,0.01,0.5631,0.5968
grade,premise,492,0.0003,0.6411,0.6646
last-sentence,stance,492,0.01,0.5583,0.6021
last-sentence,premise,492,0.001,0.6216,0.6249
tail15,stance,492,0.003,0.5605,0.581
tail15,premise,492,0.001,0.6199,0.6376
first-half,stance,492,0.003,0.5152,0.5418
first-half,premise,492,0.001,0.5852,0.5568
